product_id,shade_id,brand_name,product_name,shade_name,chip_hex,chip_rgb,r,g,b,L_lab,a_lab,b_lab,C_lab,H_lab_deg,cluster_id
P1000203314,381735,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 530 Le Rose Rouge (3,5g)",#96252e,"150,37,46",150,37,46,33.996396325102005,46.872862979368,23.18063929180769,52.29156071355592,26.31436828239157,24
P1000203314,358927,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 980 Le Rouge Fabuleux (3,5g)",#b21f27,"178,31,39",178,31,39,38.88904481331279,56.880010049790656,34.553028758366644,66.55259078083135,31.277520116250457,12
P10060056,330227,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,01 Always Red (5 ml),#8f080d,"143,8,13",143,8,13,29.52406838682277,50.993915214297466,37.42293345885573,63.25231487897421,36.27384929068211,0
P10060056,330229,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,02 Classic Beige (5 ml),#6f423d,"111,66,61",111,66,61,33.164931986780715,18.86713437203938,11.32570633456692,22.005462580673896,30.975870303198803,28
P10060056,330248,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,06 Pink Soufflé (5 ml),#864d59,"134,77,89",134,77,89,39.74585860337551,25.57974206649777,3.42238045626212,25.80767118854316,7.620496786543072,5
P10060056,330255,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,120 Soft mocha (5 ml),#9e6b5f,"158,107,95",158,107,95,50.23039801175442,18.81943023688904,14.985340226655474,24.05683637034912,38.5292440283128,17
P10060056,330230,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,121 Blush Addict,#864648,"134,70,72",134,70,72,37.69451951045559,27.436563476949395,11.14571416154938,29.61405003702864,22.10874972252316,8
P10060056,330233,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,122 Casual Peach (5 ml),#894843,"137,72,67",137,72,67,38.48043999763527,26.99644835871124,15.407425090823455,31.083709108050453,29.714286539008697,11
P10060056,330259,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,123 Brownie (5 ml),#45241d,"69,36,29",69,36,29,18.43525312242828,14.804687663928116,11.501933036020096,18.747619592672446,37.84404708685918,28
P10060056,330237,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,124 Rose Instinct (5 ml),#843944,"132,57,68",132,57,68,34.49919922573402,33.324502541619395,9.195685274161193,34.569973926918465,15.42650557470938,5
P10060056,330243,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,125 Rose Flambé (5 ml),#8e192c,"142,25,44",142,25,44,30.94872907528741,48.18105927606059,20.32312958228204,52.29191207999084,22.870379371094373,8
P10060056,330253,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,126 Hot Hot Pink (5 ml),#af0036,"175,0,54",175,0,54,36.712108941654265,61.75908924626982,22.59335954094668,65.76203311847351,20.09406178634753,3
P10060056,330249,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,127 Frozen Pomegranate (5 ml),#852831,"133,40,49",133,40,49,31.178123020915848,40.21301308548933,17.001244091236412,43.65923409845318,22.91765286198978,8
P10060056,330264,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,128 Fancy Raspberry (5 ml),#83151c,"131,21,28",131,21,28,27.97223958288541,45.23376802180943,26.505397432212074,52.42737703233286,30.368802886267588,0
P10060056,330236,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,129 Risky Red (5 ml),#7e0b14,"126,11,20",126,11,20,25.94226859447361,45.8485257078404,28.9736213939792,54.23613229447829,32.290522816148666,0
P10060056,330228,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,13 Marvelous Mauve (5 ml),#7a4f5d,"122,79,93",122,79,93,38.76105771830333,20.235184357711823,-0.6960553776419687,20.2471523696378,358.0299009748461,15
P10060056,330244,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,130 Naughty Burgundy (5 ml),#682123,"104,33,35",104,33,35,24.170978645470207,31.912367286182853,16.08775302378833,35.738144651935194,26.753716133167075,21
P10060056,330247,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,131 Spicy Terracotta (5 ml),#7c0600,"124,6,0",124,6,0,25.004083188754336,45.78295175871786,37.22612155190107,59.00731139052177,39.1145627946616,0
P10060056,330254,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,132 Acid Coral (5 ml),#b9393b,"185,57,59",185,57,59,43.59451950243792,51.33830735674039,28.45264122802864,58.69560967488164,28.99603237997161,24
P10060056,330262,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,133 Purple Pop (5 ml),#64173a,"100,23,58",100,23,58,22.402771415542304,37.10005197129932,-2.260900477597028,37.16887847706342,356.512671963072,15
P10060056,330257,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,134 Plum Madness (5 ml),#411e23,"65,30,35",65,30,35,16.375075768395938,17.544824279331323,4.36432396112878,18.07949619403972,13.968967321087462,6
P10060056,330260,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,135 Mystic Purple (5 ml),#663664,"102,54,100",102,54,100,30.36054517970443,28.89742229701956,-18.06052253382554,34.077022898238965,327.9951392044435,-1
P10060056,330278,SEPHORA COLLECTION,Cream Lip Stain - Rouge Velouté Sans Transfert - Rouge À Lèvres Liquide Mat,136 Ultra Violet (5 ml),#3d3271,"61,50,113",61,50,113,25.153737662840143,22.19425435103467,-34.94230402651257,41.39504241910688,302.42243102067806,-1
